Model,Launch,Core name,Cores,Threads,Freq (MHz),Turbo (MHz),L3 Cache (KB),TDP (Watt),DP FLOPs/cycle,DB GFLOPS (No Turbo),DB GFLOPS/Watt,Tech (micron),Socket,FSB (MHz),L2 Cache (KB)
 E5-2603 v2 , Sep 2013 , Ivy Bridge-EP ,4,4,1800,,10240,80,8,58,0.720,0.022, Socket 2011 , 3200 (DMI/QPI) ,1024
 X5660 , Mar 2010 , Westmere-EP ,6,12,2800,3200,12288,95,4,67,0.707,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 E7-2860 , Apr 2011 , Westmere-EX ,10,20,2267,2667,24576,130,4,91,0.698,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E7-4860 , Apr 2011 , Westmere-EX ,10,20,2267,2667,24576,130,4,91,0.698,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E7-8860 , Apr 2011 , Westmere-EX ,10,20,2267,2667,24576,130,4,91,0.698,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E5-1603 , Mar 2012 , Sandy Bridge-EP ,4,4,2800,,10240,130,8,90,0.689,0.032, Socket 2011 ,,1024
 X5650 , Mar 2010 , Westmere-EP ,6,12,2667,3067,12288,95,4,64,0.674,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 E5-4603 , May 2012 , Sandy Bridge-EP ,4,8,2000,,10240,95,8,64,0.674,0.032, Socket 2011 , 3200 (DMI/QPI) ,1024
 L3426 , Sep 2009 , Lynnfield ,4,8,1867,3200,8192,45,4,30,0.664,0.045, Socket 1156 ,,1024
 E7-8837 , Apr 2011 , Westmere-EX ,8,8,2667,2800,24576,130,4,85,0.656,0.032, Socket 1567 , 3200 (DMI/QPI) ,2048
 E7-2830 , Apr 2011 , Westmere-EX ,8,16,2133,2400,24576,105,4,68,0.650,0.032, Socket 1567 , 3200 (DMI/QPI) ,2048
 E7-4830 , Apr 2011 , Westmere-EX ,8,16,2133,2400,24576,105,4,68,0.650,0.032, Socket 1567 , 3200 (DMI/QPI) ,2048
 E7-8830 , Apr 2011 , Westmere-EX ,8,16,2133,2400,24576,105,4,68,0.650,0.032, Socket 1567 , 3200 (DMI/QPI) ,2048
 L5530 , Aug 2009 , Nehalem-EP ,4,8,2400,2667,8192,60,4,38,0.640,0.045, Socket 1366 , 2933 (DMI/QPI) ,1024
 X5690 , Feb 2011 , Westmere-EP ,6,12,3467,3733,12288,130,4,83,0.640,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 L7555 , Mar 2010 , Beckton ,8,16,1867,2533,24576,95,4,60,0.629,0.045, Socket 1567 , 2933 (DMI/QPI) ,2048
